,Date,Open,High,Low,Close,Volume,Polarity,Subjectivity,Adj Close
39,11-12-06,12328.24023,12354.58984,12297.62988,12328.48047,213850000,0.189393939,0.359090909,12328.48047
40,12-12-06,12312.70996,12333.91992,12252.04981,12315.58008,248140000,0.134811074,0.409829779,12315.58008
41,13-12-06,12317.5,12368.61035,12301.55957,12317.5,213520000,0.109090909,0.424191919,12317.5
42,14-12-06,12417.95996,12431.25977,12307.00977,12416.75977,253900000,0.032829636,0.26689905,12416.75977
43,15-12-06,12446.24023,12486.29981,12417.87988,12445.51953,417750000,0.073409903,0.32646618,12445.51953
44,18-12-06,12439.50977,12490.7002,12428.94043,12441.26953,237310000,0.105545256,0.370850693,12441.26953
45,19-12-06,12471.32031,12491.91016,12397.61035,12471.32031,233450000,0.134821429,0.337043651,12471.32031
46,20-12-06,12461.62012,12498.46973,12456.58008,12463.87012,193300000,-0.07983683,0.276340326,12463.87012
47,21-12-06,12413.08008,12483.73047,12396.00977,12421.25,192090000,0,0,12421.25
48,22-12-06,12341.94043,12420.20996,12341.7002,12343.21973,143650000,0.060750916,0.367545788,12343.21973
49,26-12-06,12408.42969,12418.2002,12337.04981,12407.62988,110210000,0,0,12407.62988
50,27-12-06,12510.57031,12519.21973,12407.79004,12510.57031,143650000,0.025438596,0.21995614,12510.57031
51,28-12-06,12500.48047,12529.87988,12478.12988,12501.51953,126740000,0,0,12501.51953
52,29-12-06,12459.54004,12526.03027,12451.12988,12463.15039,161560000,-0.026839827,0.312914863,12463.15039
53,03-01-07,12473.16016,12580.34961,12404.82031,12474.51953,327200000,0.07554533,0.376150683,12474.51953
54,04-01-07,12480.04981,12510.41016,12403.86035,12480.69043,259060000,0,0,12480.69043
55,05-01-07,12392.00977,12480.12988,12365.41016,12398.00977,235220000,0.082860889,0.361756993,12398.00977
56,08-01-07,12424.76953,12445.91992,12337.37012,12423.49023,223500000,0.039327662,0.329877442,12423.49023
